Id,Designator,Footprint,Quantity,Designation,Supplier and ref
1,R4,R_1206_3216Metric,1,R1206/100,Thegioiic
2,"C2,C4,C5,C3",C_0603_1608Metric,4,C0603/100nF,Available
3,R1,R0603_HandSoldering,1,R0603/100K,Thegioiic
4,"R2,R3",R0603_HandSoldering,2,R0603/10K,Available
5,"R6,R5",R0603_HandSoldering,2,R0603/100,Thegioiic
6,U1,TSSOP-14_4.4x5mm_P0.65mm,1,BQ35100,Cnbuy
7,TH1,MF52-103,1,MF52-103,Thegioiic
8,C1,C_0603_1608Metric,1,100nF,Available
9,J1,PinHeader_1x04_P2.54mm_Vertical,1,Conn_01x04_Pin,
10,R8,R0603_HandSoldering,1,R0603/1M,Thegioiic
11,R7,R_2512_6332Metric,1,R2512/0.1R,Shoppee
12,B1,BHC-CR123A_PPW,1,BHC-CR123A,Shoppe
13,J2,TerminalBlock_4Ucon_1x02_P3.50mm_Horizontal,1,Screw_Terminal_01x02,x
